NAME OF PROJECT,n_rows,heuristic_v2_at_labeling_time,label
Augmentation to COVID 19         ( 2nd Trance),2,Non-Infrastructure,N
Socio Cultural Actities( SK ),1,Non-Infrastructure,N
Photocopier Machine,3,Unclassified,N
Socio Cultural Activity (Food and Sound System),1,Non-Infrastructure,N
Completion of Classroon Bldg. of Igtuble Intergrated School,1,Infrastructure,I
Common Quarantine Facility (3rd   Tranche),3,Unclassified,I
Multi-purpose center,1,Infrastructure,I
CCTV Camera  (4 Cameras and Monitor),1,Non-Infrastructure,N
Contruction of Classroom Bldg Botong Elem. Schl.,1,Unclassified,I
Rahabilitation of Canal,1,Infrastructure,I
Donations (Pasidungog),1,Unclassified,N
Construction of Cultural Hall of Pepe-Lonoc Elem. Sch.,1,Infrastructure,I
Purchase of Monoblock Chairs(30 pcs),1,Non-Infrastructure,N
CCTV Camera (16 units),1,Non-Infrastructure,N
Construction of Multi- purpose Center,1,Infrastructure,I
Rehabilitation of Steel Hanging Bridge,1,Infrastructure,I
3 Indusrial fun,1,Unclassified,N
Cash Incentives,2,Unclassified,N
Construction of Classroom BLDG - Bitaoyan Elem.schl,1,Infrastructure,I
Toilet Bowls,1,Unclassified,N
"Medical Equipment, (Nebulizer and Thermal Scanner)",1,Non-Infrastructure,N
Repair of Streetlight ,1,Infrastructure,I
FA-Basketball Digital Score Board,1,Unclassified,N
Defray Expenses for the Various Socio Cultural Activities,2,Non-Infrastructure,N
Plastic Chair & Smart TV,1,Unclassified,N
Common Quarantine Facility,6,Unclassified,I
Solar St. Lights (10 posts),3,Unclassified,I
TV Set,2,Unclassified,N
School Building Ticdalan ES,1,Infrastructure,I
1 Unit Desktop Computer & Printer w/ Scanner,1,Non-Infrastructure,N
Basketbal Fiber Glass Board w/ Ring(SK),1,Unclassified,N
